iter	Passed	Remaining
0	4	8529
1	7	7818
2	12	8034
3	17	8533
4	21	8667
5	24	8186
6	28	7998
7	33	8291
8	38	8466
9	41	8218
10	44	8071
11	50	8350
12	69	10668
13	82	11657
14	92	12192
15	99	12331
16	107	12550
17	113	12478
18	116	12146
19	120	11930
20	126	11912
21	130	11713
22	134	11552
23	139	11472
24	145	11520
25	150	11459
26	155	11383
27	160	11288
28	164	11194
29	169	11118
30	172	10947
31	176	10853
32	181	10833
33	185	10714
34	187	10554
35	193	10580
36	198	10505
37	204	10534
38	206	10386
39	211	10366
40	214	10264
41	219	10212
42	222	10112
43	228	10163
44	233	10145
45	237	10078
46	242	10069
47	246	10043
48	251	10001
49	253	9898
50	257	9859
51	261	9784
52	263	9684
53	268	9665
54	273	9686
55	277	9623
56	283	9666
57	288	9666
58	293	9670
59	298	9666
60	304	9663
61	308	9643
62	312	9618
63	316	9577
64	322	9597
65	325	9539
66	330	9521
67	333	9478
68	336	9403
69	340	9391
70	344	9351
71	347	9318
72	352	9298
73	357	9309
74	361	9271
75	365	9255
76	368	9214
77	373	9200
78	376	9147
79	379	9112
80	385	9137
81	391	9163
82	396	9154
83	402	9174
84	405	9138
85	409	9124
86	413	9093
87	417	9080
88	422	9076
89	426	9042
90	429	9002
91	431	8944
92	436	8947
93	441	8956
94	445	8931
95	450	8931
96	453	8903
97	460	8935
98	465	8942
99	468	8901
100	473	8897
101	499	9300
102	508	9362
103	515	9390
104	522	9428
105	530	9480
106	537	9516
107	541	9491
108	545	9462
109	549	9433
110	554	9428
111	558	9420
112	563	9418
113	570	9441
114	574	9415
115	577	9383
116	581	9360
117	588	9391
118	592	9366
119	596	9350
120	600	9322
121	606	9328
122	609	9304
123	615	9312
124	621	9326
125	624	9290
126	629	9279
127	635	9294
128	639	9275
129	645	9279
130	652	9304
131	657	9306
132	663	9311
133	668	9314
134	673	9309
135	677	9286
136	683	9291
137	688	9284
138	691	9259
139	697	9260
140	701	9243
141	704	9220
142	707	9189
143	713	9195
144	717	9184
145	722	9179
146	729	9194
147	732	9168
148	740	9193
149	748	9231
150	757	9270
151	764	9300
152	770	9302
153	776	9307
154	782	9319
155	790	9341
156	795	9337
157	801	9349
158	806	9340
159	813	9349
160	819	9364
161	823	9342
162	828	9331
163	831	9313
164	836	9306
165	840	9287
166	844	9266
167	849	9266
168	854	9256
169	857	9231
170	872	9333
171	879	9349
172	885	9347
173	889	9332
174	894	9326
175	899	9324
176	905	9323
177	909	9313
178	913	9291
179	916	9269
180	922	9269
181	928	9274
182	931	9243
183	936	9239
184	940	9229
185	945	9218
186	948	9197
187	953	9189
188	958	9181
189	962	9165
190	964	9135
191	969	9131
192	972	9109
193	976	9085
194	983	9102
195	987	9093
196	993	9095
197	996	9073
198	1001	9061
199	1004	9036
200	1008	9028
201	1015	9035
202	1019	9027
203	1026	9040
204	1032	9041
205	1036	9023
206	1041	9018
207	1044	8995
208	1047	8976
209	1052	8968
210	1058	8975
211	1066	8993
212	1072	8997
213	1078	9001
214	1082	8987
215	1086	8971
216	1091	8966
217	1095	8952
218	1102	8966
219	1107	8958
220	1110	8938
221	1118	8960
222	1123	8949
223	1128	8944
224	1134	8946
225	1141	8956
226	1147	8965
227	1153	8964
228	1157	8954
229	1163	8952
230	1167	8943
231	1171	8929
232	1174	8908
233	1177	8886
234	1181	8871
235	1186	8870
236	1191	8863
237	1194	8841
238	1199	8836
239	1206	8846
240	1211	8839
241	1215	8830
242	1218	8806
243	1224	8814
244	1229	8805
245	1233	8793
246	1238	8788
247	1241	8773
248	1246	8768
249	1250	8755
250	1255	8748
251	1258	8726
252	1260	8706
253	1264	8690
254	1271	8699
255	1278	8711
256	1281	8693
257	1287	8696
258	1291	8681
259	1296	8673
260	1299	8657
261	1303	8649
262	1307	8636
263	1312	8631
264	1315	8611
265	1320	8607
266	1325	8604
267	1329	8592
268	1333	8582
269	1339	8582
270	1342	8567
271	1348	8563
272	1352	8558
273	1357	8551
274	1364	8557
275	1368	8549
276	1372	8535
277	1376	8526
278	1379	8509
279	1383	8500
280	1388	8494
281	1392	8484
282	1395	8468
283	1399	8458
284	1403	8445
285	1409	8446
286	1413	8436
287	1418	8433
288	1421	8418
289	1426	8411
290	1429	8393
291	1437	8408
292	1451	8453
293	1458	8462
294	1465	8467
295	1471	8473
296	1477	8470
297	1481	8460
298	1487	8464
299	1491	8449
300	1493	8431
301	1498	8425
302	1501	8408
303	1506	8406
304	1512	8403
305	1516	8395
306	1519	8378
307	1525	8378
308	1531	8379
309	1534	8366
310	1539	8358
311	1542	8346
312	1546	8337
313	1556	8355
314	1560	8348
315	1564	8338
316	1568	8328
317	1573	8321
318	1578	8316
319	1582	8309
320	1588	8308
321	1595	8315
322	1598	8300
323	1601	8283
324	1603	8264
325	1607	8253
326	1610	8238
327	1616	8240
328	1620	8230
329	1626	8229
330	1630	8223
331	1634	8211
332	1640	8213
333	1645	8208
334	1648	8195
335	1653	8190
336	1658	8182
337	1662	8173
338	1665	8160
339	1669	8151
340	1673	8142
341	1677	8134
342	1681	8124
343	1686	8117
344	1689	8103
345	1691	8087
346	1697	8084
347	1700	8071
